source,target
1351,4705
1043,5263
56,4248
1156,1028
1156,2126
1240,4248
1156,2126
1155,1897
621,5569
1148,4967
517,278
1148,5441
509,3372
1351,1821
509,7271
30,2888
196,400
1148,5403
30,7061
1351,4630
1351,441
894,5683
1148,735
506,4913
506,4913
1067,4913
1067,952
1148,4226
1148,6735
806,647
1148,7349
1155,5807
1045,3337
1148,3012
1319,5356
1319,6896
446,327
446,6896
1351,2937
1351,2937
1351,2937
1342,1897
1303,5380
129,6896
395,6848
203,5966
1032,6848
56,1897
1156,5807
56,1694
395,2696
1156,2126
1300,4524
1156,3014
129,2696
1156,3014
1342,6848
1351,1141
1342,1897
30,2379
1351,4630
1351,2726
1351,6384
1156,2726
1351,1141
1294,6848
529,1897
529,1254
1351,5910
804,6334
506,4913
1351,6848
506,4913
1156,5807
922,6146
1156,6848
1351,6848
586,584
1351,4630
1342,632
1351,5812
922,945
1294,6848
922,5255
1156,1897
1156,2126
1156,23
1156,2126
922,2391
1351,6848
922,4450
922,6039
1032,948
1148,2937
1295,4630
631,4979
624,5669
1155,4630
922,5894
1155,4630
1058,1897
894,112
1294,6848
1351,4630
1155,2726
1351,4630
1156,6896
1294,1897
529,1670
586,3802
529,2797
1032,7310
37,4913
586,6012
1351,2843
1351,5812
1351,5812
610,1477
610,5446
1351,6848
1351,5807
1032,6006
1156,346
1155,2696
1351,6844
922,3371
1156,4630
1155,2028
1299,6848
624,7026
1351,2937
1351,2937
1148,3222
1148,5842
1342,23
395,6896
395,1897
1156,6230
902,5001
1156,867
1156,2726
1156,4630
1156,2126
1351,6896
1156,2126
401,2271
37,4913
1335,2405
1351,298
902,379
139,2532
654,5668
654,3252
1342,4271
1351,1460
654,768
1351,6130
1156,381
362,4479
139,4524
362,7523
307,2726
1155,2726
1351,4630
1363,2507
1294,5765
1351,1897
1351,3
59,5081
405,1061
523,588
1156,671
1351,23
678,5458
1156,2126
395,796
1155,867
1054,1897
1054,2028
1351,4630
902,5626
1338,4524
37,6848
1351,5910
1351,5910
56,1694
1156,2126
1351,381
1156,2126
1156,2126
1156,4937
1156,647
1156,7034
1156,7034
108,2871
1294,1694
1155,4630
1351,3900
805,6848
438,2379
1032,6848
1032,6848
1148,7051
395,6848
118,6848
368,6848
1198,6848
1032,6848
1148,5469
1155,4630
118,6896
1294,6848
1351,6848
196,6848
196,1179
196,7292
196,4630
1054,6848
1054,6848
1148,1387
1148,2773
30,566
30,6017
894,1150
30,2379
1067,3736
1148,6197
506,4913
772,647
1148,5542
1067,45
1155,4630
1045,5188
1045,2659
1032,2696
674,2033
203,6848
1342,6848
1294,6848
1252,6896
1252,867
1342,443
1295,714
129,2726
1240,1694
1240,4614
1148,6581
1156,2126
1156,6848
1156,6848
395,6848
1351,2937
811,5807
129,2726
1156,5807
1156,2126
1156,5765
1351,1897
1294,2028
1351,6384
1294,1897
1351,6848
615,6848
1056,714
1351,4630
1156,6848
1156,6364
529,1254
529,6896
1294,23
1156,5807
1032,6848
1294,6848
1294,6848
1351,7075
1351,5910
1351,7075
529,4438
1032,6848
1351,6848
610,3494
529,7259
529,7259
1032,6848
395,6848
1155,7278
1294,392
1155,4630
922,3014
922,2010
1155,4630
1351,3808
1148,7191
1252,6896
506,4913
37,6292
395,6848
1233,2977
1294,2726
1148,7244
1294,2932
1156,6896
1294,7310
1156,2126
1156,6075
1294,6334
395,1897
37,6848
37,1897
1294,6848
37,168
973,2028
1294,6848
438,2379
1155,2726
313,5752
1148,5694
1295,6848
1032,4772
1295,2126
624,2507
235,1432
235,2126
235,6896
984,6504
1032,6848
529,1296
1351,6848
37,4726
1155,4630
1351,6896
1156,7310
1156,796
1156,6130
395,6848
59,1649
523,1079
1294,4726
307,4630
1156,2126
1156,1897
902,3166
902,832
1156,5807
118,5807
1148,5041
395,5807
1156,2726
902,1952
118,1694
902,1557
1156,1028
1351,5910
1351,4630
56,5807
1156,6896
241,4995
654,3854
401,586
517,2937
1156,7034
362,1997
1156,2126
1294,6896
1354,3355
1155,867
1156,1897
1351,2590
1351,172
1303,7383
1303,1431
1351,5989
1351,2937
1351,2937
654,6349
196,4630
654,4427
395,796
679,964
1156,5669
1335,3738
401,7336
1294,4726
1351,4726
1351,6464
1351,2126
923,2606
1097,4691
1351,2937
1351,6464
1351,2937
1156,4630
1351,6896
1351,2126
865,4801
1156,7034
1156,7034
1156,647
1294,2726
1351,6848
1351,6848
1054,2126
1351,1487
1054,1750
1148,2028
721,4879
1351,1367
1351,1367
1054,6848
1294,2726
1054,6848
1054,4630
1319,6848
1319,867
73,5371
1351,6848
1351,6896
1156,4726
1351,1930
1342,6848
1294,4545
1148,6127
1351,1028
615,3219
1294,6848
1155,2434
1155,4090
559,5300
1342,5529
1351,6848
1285,473
1285,6848
559,1195
1156,6848
1155,867
118,6848
118,6896
118,6848
1156,6848
1351,4630
1155,4630
1155,6848
367,2100
1294,6848
977,3230
118,6848
1342,6422
1353,5152
129,6896
1351,6848
1156,6848
1294,6848
1156,6896
1156,6848
1156,6896
1351,3161
1156,1028
129,6896
241,4913
678,3498
118,6896
1351,4630
368,2019
1351,54
643,1028
395,6848
395,6848
241,5741
395,6848
395,2696
395,2696
1351,7409
1156,5807
1032,4726
1351,1263
1294,6896
1351,1141
1156,6896
1351,6817
1156,867
118,5481
1032,6848
1351,6848
1294,5807
395,4019
395,4889
1032,6848
1351,2726
1351,555
241,772
1156,6848
1032,6848
241,6034
1351,6848
129,2696
1342,6848
1156,772
1351,6848
1351,5910
1351,6848
241,521
1294,6896
129,6848
1156,2126
1156,7310
118,1897
1155,2696
1351,6844
118,6848
395,4726
241,6848
1156,6130
1156,6848
1100,6952
1294,5807
902,3544
922,6744
446,401
1353,1180
506,4913
922,5222
506,4913
506,4913
902,4375
1156,2126
902,3323
902,2472
196,1897
1156,2126
129,6848
902,2348
538,1393
902,7557
902,4828
902,250
902,452
902,501
1155,6848
1100,4630
1100,735
902,6729
137,6884
1353,4068
137,5294
1156,784
902,322
1156,2726
922,28
662,5807
506,1028
1043,4068
1156,3014
