source,target
zOfdbmzmQ1fYGRWTuAFPZg,bMQEgMkwIhsHv-aUA3Q8tg
lsyBwJpvnfVNsPET8J3IsA,fdE235Y6Jr1eX_c6Nho5Sg
1cK6SoMXPBDEVCqFQ1hpaA,YECpIN6Wf31c9_uuBEfhQA
rYfYC5fVjAXW0tDvNB7t1Q,7e8lfd-hCI-syFjwbdp_jA
rYfYC5fVjAXW0tDvNB7t1Q,GwskN-wt5eMNE1BMdHx9hg
vAL_vtgX5imX8CEnfS3NeQ,YECpIN6Wf31c9_uuBEfhQA
rYfYC5fVjAXW0tDvNB7t1Q,GwskN-wt5eMNE1BMdHx9hg
rW6xxTD_Y9GoirgPLYrH4g,FQcXC4SaV3eoNkIQDprs8Q
SqQAEBera0tTGDoxYd4svQ,iTGKnaRrnhNp2R69GrcSrg
rD1m5it6FkbNJA3tDtrDGA,dRYO1gUxDfDqA0ss6NtUIw
Nvedctg3vU3LHfC_s9W_qQ,1PpvjR_ic_2r0lS_wbhX4w
rD1m5it6FkbNJA3tDtrDGA,h99xiClI-HM69dinGSbkpQ
NbL8cCikZ-F-LFoc7EbpOA,RHkHnUcgclmUdM3A3QWcIg
zOfdbmzmQ1fYGRWTuAFPZg,Ei-afEAO9pW9VTyTmnw_eQ
NbL8cCikZ-F-LFoc7EbpOA,ws4m-xn9uRhzv9iGunYUyw
0Odv2t259yNh8DBjyGcjqA,NGd2i448futHfQBf4LWL5w
7qJmYk_w55tVVV6A8p5AKA,2K-Xm7uSoRiDj137w-zXSw
rD1m5it6FkbNJA3tDtrDGA,gpkR7BPwbmBinDkuKWbufQ
0Odv2t259yNh8DBjyGcjqA,vDXkO6uWKzakQVSSZKgaUQ
zOfdbmzmQ1fYGRWTuAFPZg,akvJXN2XTN2LgwQ5dyN8-w
zOfdbmzmQ1fYGRWTuAFPZg,2cPURQr7YHVU43vt9JnV7g
fXEo3HDqiAotmzhDQXRK6A,jW-9Ah45Cw5S5dsk0xp25w
rD1m5it6FkbNJA3tDtrDGA,5GDJGTTySBU7nCqHaQ8qRw
NUKtxXRjdd2KVaOyFea02Q,d0VG42GZkTSx73afRcJvFg
NUKtxXRjdd2KVaOyFea02Q,d0VG42GZkTSx73afRcJvFg
nDEb6GE2tTtnCUoQgSNiLw,d0VG42GZkTSx73afRcJvFg
nDEb6GE2tTtnCUoQgSNiLw,71l1oXqTcDlDOUmbks6InA
rD1m5it6FkbNJA3tDtrDGA,Y1wxDcEk0qhNnQQWlhyT1w
rD1m5it6FkbNJA3tDtrDGA,scdbvsE5lrxxCLAPkJIQ-g
aWtqVIk2dVCJNOOgqG1dlw,4RWgO_8uaG8cI3d9P7GiAw
rD1m5it6FkbNJA3tDtrDGA,xayBq58w0LpuQR4VDkMhMQ
rW6xxTD_Y9GoirgPLYrH4g,kL_r2cBb6xQLM7e0pM48dg
m12ytWS667xNDFXnadN4Lw,QzxOSwvFV8Ga2v3sEZlm6g
rD1m5it6FkbNJA3tDtrDGA,OIQIJdxQY4oD2qSPJFnkjA
yPqwCKIQwvrszU58zytXyA,gR5b4xmdhZ2K7yzqbfXlJw
yPqwCKIQwvrszU58zytXyA,ttV2shkYetHFN2npkvnCEw
Kr0qd878oMR5CDmlG7dYng,1koMPrn_n0MWOY-oxpBDCw
Kr0qd878oMR5CDmlG7dYng,ttV2shkYetHFN2npkvnCEw
zOfdbmzmQ1fYGRWTuAFPZg,Nemnkekd9zMvvZoZuJYY2g
zOfdbmzmQ1fYGRWTuAFPZg,Nemnkekd9zMvvZoZuJYY2g
zOfdbmzmQ1fYGRWTuAFPZg,Nemnkekd9zMvvZoZuJYY2g
z66VtwJE13KKmco-W8vsYA,FQcXC4SaV3eoNkIQDprs8Q
xtYObRByGQZVagMt5A5uxA,gc2xPZ7fnnVio5ELEcV6yQ
4UYzH2dOA72aY5tEchbGDg,ttV2shkYetHFN2npkvnCEw
IdwthJZBvDFusOio9zKh8Q,tU6NT22sRhjqJbqHRRqMOg
8LrUaeO6Ab1ECh5TKUlegA,loVNebh124Ki-alfyL-4qA
lKCLHQDoqH5eOYUm8ZbH-Q,tU6NT22sRhjqJbqHRRqMOg
1cK6SoMXPBDEVCqFQ1hpaA,FQcXC4SaV3eoNkIQDprs8Q
rYfYC5fVjAXW0tDvNB7t1Q,kL_r2cBb6xQLM7e0pM48dg
1cK6SoMXPBDEVCqFQ1hpaA,DWKVMGIghRWfeKP3ZDuyOg
IdwthJZBvDFusOio9zKh8Q,LfXTNvVwNEKHQ2CI7-aaiQ
rYfYC5fVjAXW0tDvNB7t1Q,GwskN-wt5eMNE1BMdHx9hg
xihwZ7zVoI5t7ogb6juxKA,_po5lpcKcy8o93rWNj20qQ
rYfYC5fVjAXW0tDvNB7t1Q,OKEbA0b5ijZ0_2sOqswHnA
4UYzH2dOA72aY5tEchbGDg,LfXTNvVwNEKHQ2CI7-aaiQ
rYfYC5fVjAXW0tDvNB7t1Q,OKEbA0b5ijZ0_2sOqswHnA
z66VtwJE13KKmco-W8vsYA,tU6NT22sRhjqJbqHRRqMOg
zOfdbmzmQ1fYGRWTuAFPZg,8fJmLXT1-O5S9LpkFlRz9g
z66VtwJE13KKmco-W8vsYA,FQcXC4SaV3eoNkIQDprs8Q
0Odv2t259yNh8DBjyGcjqA,JEpgq3wiBlzA-xOdaKqs6Q
zOfdbmzmQ1fYGRWTuAFPZg,akvJXN2XTN2LgwQ5dyN8-w
zOfdbmzmQ1fYGRWTuAFPZg,LuBE7N244AUZQl3SJCAnQw
zOfdbmzmQ1fYGRWTuAFPZg,pRcZ3xB9krzfzPPhVwoRvA
rYfYC5fVjAXW0tDvNB7t1Q,LuBE7N244AUZQl3SJCAnQw
zOfdbmzmQ1fYGRWTuAFPZg,8fJmLXT1-O5S9LpkFlRz9g
xEHHH8r-dicIwU_4t_zlyg,tU6NT22sRhjqJbqHRRqMOg
OP1KYF3vxMLOUuUiXmQ6kg,FQcXC4SaV3eoNkIQDprs8Q
OP1KYF3vxMLOUuUiXmQ6kg,9c9wVdcqEMyNG1Ih2zYPxw
zOfdbmzmQ1fYGRWTuAFPZg,lKCLHQDoqH5eOYUm8ZbH-Q
aV7tZeRXFe0MiHpcw35dHQ,p1zlF6_jFmrjHzkSnNC7yw
NUKtxXRjdd2KVaOyFea02Q,d0VG42GZkTSx73afRcJvFg
zOfdbmzmQ1fYGRWTuAFPZg,tU6NT22sRhjqJbqHRRqMOg
NUKtxXRjdd2KVaOyFea02Q,d0VG42GZkTSx73afRcJvFg
rYfYC5fVjAXW0tDvNB7t1Q,kL_r2cBb6xQLM7e0pM48dg
gUy3jpjMpVD5utF1jow69w,nUDE1zChMkun5oJ5kqI5aA
rYfYC5fVjAXW0tDvNB7t1Q,tU6NT22sRhjqJbqHRRqMOg
zOfdbmzmQ1fYGRWTuAFPZg,tU6NT22sRhjqJbqHRRqMOg
RTDGRd24MLBzph0dRbGzaA,3wpsC6cxPbj4Wqz-vT4s2w
zOfdbmzmQ1fYGRWTuAFPZg,akvJXN2XTN2LgwQ5dyN8-w
z66VtwJE13KKmco-W8vsYA,4KmVjHXpLSbzw0OS--hErQ
zOfdbmzmQ1fYGRWTuAFPZg,kNHlbORl98KdehMg05P1JQ
gUy3jpjMpVD5utF1jow69w,7-C8LoAea4JtInl7OF4ZMA
xEHHH8r-dicIwU_4t_zlyg,tU6NT22sRhjqJbqHRRqMOg
gUy3jpjMpVD5utF1jow69w,fc8MNubRK4jZsTZxigqrWw
rYfYC5fVjAXW0tDvNB7t1Q,FQcXC4SaV3eoNkIQDprs8Q
rYfYC5fVjAXW0tDvNB7t1Q,GwskN-wt5eMNE1BMdHx9hg
rYfYC5fVjAXW0tDvNB7t1Q,-EeSXHn12H8_5E0QJ8g6Eg
rYfYC5fVjAXW0tDvNB7t1Q,GwskN-wt5eMNE1BMdHx9hg
gUy3jpjMpVD5utF1jow69w,JJfdF5BUdyFBWSOykLCmHw
zOfdbmzmQ1fYGRWTuAFPZg,tU6NT22sRhjqJbqHRRqMOg
gUy3jpjMpVD5utF1jow69w,_EE71Efkc9e-b-mJ5NXrXA
gUy3jpjMpVD5utF1jow69w,mSoF3PrsmNJDOn0fmQ38BA
lKCLHQDoqH5eOYUm8ZbH-Q,7-dveo7fMdOHkqi1bPpqyA
rD1m5it6FkbNJA3tDtrDGA,Nemnkekd9zMvvZoZuJYY2g
xILF0_xJ00q8WIRudpTpoA,akvJXN2XTN2LgwQ5dyN8-w
TZVV666vVVmxN00iXLFVXQ,dZdtqvXbc2uBisvHcFuniA
T9qE4tZmmi8YW2NOyVvHRQ,jI3LH0H7cuGMOzSpHeS5Nw
rW6xxTD_Y9GoirgPLYrH4g,akvJXN2XTN2LgwQ5dyN8-w
gUy3jpjMpVD5utF1jow69w,l740xxvEfuZ4yN2olojIGQ
rW6xxTD_Y9GoirgPLYrH4g,akvJXN2XTN2LgwQ5dyN8-w
muy7oYbburnRrt2-As5oKQ,FQcXC4SaV3eoNkIQDprs8Q
fXEo3HDqiAotmzhDQXRK6A,-zjAwRpmZjtJKjgNkEECdg
xEHHH8r-dicIwU_4t_zlyg,tU6NT22sRhjqJbqHRRqMOg
zOfdbmzmQ1fYGRWTuAFPZg,akvJXN2XTN2LgwQ5dyN8-w
rW6xxTD_Y9GoirgPLYrH4g,LuBE7N244AUZQl3SJCAnQw
zOfdbmzmQ1fYGRWTuAFPZg,akvJXN2XTN2LgwQ5dyN8-w
rYfYC5fVjAXW0tDvNB7t1Q,ttV2shkYetHFN2npkvnCEw
xEHHH8r-dicIwU_4t_zlyg,FQcXC4SaV3eoNkIQDprs8Q
OP1KYF3vxMLOUuUiXmQ6kg,DJ_PMJxTJTs_hgtfu6upQQ
RTDGRd24MLBzph0dRbGzaA,UqZ-Di54N5NKEkPNutcf8g
OP1KYF3vxMLOUuUiXmQ6kg,MYcXpEn7vyaTkRdU5BTypw
lKCLHQDoqH5eOYUm8ZbH-Q,xAKOGSovq2s5hkHY0jLx4w
0cDL4AD8ape3_XBswFLWnA,d0VG42GZkTSx73afRcJvFg
